CommType,ID,ReceiveTime,SourceID,MsgId,PosTime,Lon,Lat,Cog,Sog,TrueHeading,NavigationStatus,ROT,PosAccuracy,A,B,C,D,E,F,G,H
1,273399370,2022-01-15 00:00:02,2,3,2022-01-15 00:00:01,12069279,32793915,,0.0,,5.0,,1,1,0,0.0,,,,,
1,244620640,2022-01-15 00:00:02,7,1,2022-01-15 00:00:01,4002870,31947727,2390.0,52.0,241.0,0.0,0.0,1,1,0,0.0,,,,,
1,373406000,2022-01-15 00:00:02,7,1,2022-01-15 00:00:00,17400185,24508712,1147.0,74.0,119.0,0.0,0.0,1,0,0,1.0,,,,,
1,367360360,2022-01-15 00:00:02,7,1,2022-01-15 00:00:02,-54181870,17409290,530.0,168.0,53.0,0.0,-127.0,0,60,0,0.0,,,,,
1,367622660,2022-01-15 00:00:02,7,1,2022-01-15 00:00:01,-54120798,17471314,2927.0,0.0,340.0,0.0,0.0,0,1,0,0.0,,,,,
1,255806312,2022-01-15 00:00:02,7,3,2022-01-15 00:00:00,-5254351,21937943,830.0,87.0,85.0,0.0,7.0,1,0,0,0.0,,,,,
1,244675000,2022-01-15 00:00:02,7,1,2022-01-15 00:00:02,-61371,29949220,1856.0,66.0,174.0,0.0,0.0,1,60,0,1.0,,,,,
1,273448710,2022-01-15 00:00:02,7,1,2022-01-15 00:00:00,17449722,26692421,387.0,85.0,34.0,0.0,0.0,0,0,0,0.0,,,,,
1,405000163,2022-01-15 00:00:02,7,1,2022-01-14 23:59:59,62358240,742260,2470.0,117.0,243.0,0.0,0.0,0,59,0,0.0,,,,,
1,431011509,2022-01-15 00:00:02,7,3,2022-01-15 00:00:00,79299562,21129173,539.0,113.0,54.0,0.0,0.0,0,0,0,0.0,,,,,
1,431011856,2022-01-15 00:00:02,7,1,2022-01-15 00:00:00,78312780,18905180,3235.0,1.0,15.0,0.0,0.0,0,0,0,0.0,,,,,
1,413276040,2022-01-15 00:00:02,9,1,2022-01-15 00:00:01,67760760,12957720,588.0,70.0,59.0,0.0,0.0,0,1,0,0.0,,,,,
1,413520780,2022-01-15 00:00:02,9,19,2022-01-15 00:00:02,65117855,12888016,1117.0,1.0,111.0,,,1,60,0,0.0,0.0,,,,
1,413352110,2022-01-15 00:00:02,9,18,2022-01-15 00:00:01,68314003,13311953,768.0,56.0,76.0,,,0,1,0,1.0,1.0,1.0,0.0,393222.0,
1,413900378,2022-01-15 00:00:02,9,3,2022-01-15 00:00:00,68045339,14560994,,0.0,,0.0,32.0,0,0,0,0.0,,,,,
1,413837161,2022-01-15 00:00:03,9,1,2022-01-15 00:00:00,66311744,14079964,885.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,,
1,413903078,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,66071632,14055999,0.0,0.0,12.0,9.0,,0,2,0,0.0,,,,,
1,413848162,2022-01-15 00:00:03,9,19,2022-01-15 00:00:03,65750484,13842349,2358.0,0.0,,,,0,60,0,0.0,1.0,,,,
1,413989702,2022-01-15 00:00:03,9,18,2022-01-15 00:00:01,66731095,14051911,2471.0,0.0,,,,0,1,0,1.0,1.0,1.0,0.0,393222.0,
1,413841894,2022-01-15 00:00:03,9,18,2022-01-15 00:00:01,66176454,14146207,3395.0,0.0,,,,0,1,1,1.0,1.0,1.0,0.0,393222.0,
1,413846222,2022-01-15 00:00:03,9,18,2022-01-15 00:00:01,67807110,13820640,1107.0,52.0,,,,0,1,1,1.0,1.0,1.0,0.0,393222.0,
1,413238140,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,67852995,13656328,2131.0,0.0,284.0,0.0,0.0,0,2,0,1.0,,,,,
1,413987405,2022-01-15 00:00:03,9,19,2022-01-15 00:00:03,67476822,13823520,974.0,73.0,97.0,,,1,60,0,0.0,0.0,,,,
1,413906189,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,68146656,13854925,,0.0,,15.0,,1,2,0,1.0,,,,,
1,431000427,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,80575120,20734180,2083.0,115.0,,0.0,,0,60,0,0.0,,,,,
1,431000824,2022-01-15 00:00:03,7,3,2022-01-14 23:59:59,80617790,20848680,3230.0,13.0,49.0,0.0,127.0,0,59,0,0.0,,,,,
1,431013876,2022-01-15 00:00:03,7,3,2022-01-15 00:00:00,79473717,20608008,332.0,116.0,35.0,0.0,0.0,0,0,0,0.0,,,,,
1,636018346,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,-2180140,29927380,2554.0,173.0,255.0,0.0,0.0,0,0,0,0.0,,,,,
1,244830366,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,2648372,31146845,,0.0,,0.0,,1,2,1,1.0,,,,,
1,431005301,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,80741360,20828550,646.0,147.0,65.0,0.0,0.0,1,2,0,0.0,,,,,
1,477996029,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,68490400,13386324,,2.0,,0.0,,1,1,0,1.0,,,,,
1,440154720,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,77433854,21060568,780.0,1.0,,0.0,,1,1,0,1.0,,,,,
1,477830800,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,77572767,20985334,3576.0,27.0,333.0,0.0,0.0,0,2,0,0.0,,,,,
1,248698000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,5410041,34532663,568.0,140.0,55.0,0.0,-7.0,0,2,0,0.0,,,,,
1,219186000,2022-01-15 00:00:03,7,3,2022-01-15 00:00:01,2927331,33376060,1335.0,22.0,137.0,0.0,-19.0,1,1,0,0.0,,,,,
1,219000751,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,8901702,33148954,2365.0,0.0,34.0,0.0,0.0,1,1,0,0.0,,,,,
1,218801000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,6096879,33406583,2528.0,89.0,251.0,0.0,0.0,0,1,0,0.0,,,,,
1,412178000,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,73739420,21929424,3559.0,124.0,352.0,0.0,0.0,1,60,0,0.0,,,,,
1,256820000,2022-01-15 00:00:03,9,1,2022-01-14 23:59:57,72497109,23135990,1039.0,135.0,103.0,0.0,11.0,1,57,0,0.0,,,,,
1,412366350,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,73663301,22362511,1821.0,106.0,180.0,0.0,0.0,0,2,0,0.0,,,,,
1,413904222,2022-01-15 00:00:03,9,18,2022-01-15 00:00:02,67493456,13825962,2431.0,60.0,243.0,,,0,2,1,1.0,1.0,1.0,0.0,393222.0,
1,477995299,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,68446858,13365351,2576.0,1.0,,15.0,,1,60,0,1.0,,,,,
1,413774698,2022-01-15 00:00:03,9,18,2022-01-15 00:00:01,69364377,17903942,2688.0,44.0,,,,0,1,1,1.0,0.0,0.0,0.0,393222.0,
1,477995870,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,68475086,13399342,3442.0,2.0,,15.0,,0,60,0,1.0,,,,,
1,413801399,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,68672729,18403727,0.0,0.0,0.0,0.0,0.0,1,60,0,0.0,,,,,
1,563100800,2022-01-15 00:00:03,7,3,2022-01-15 00:00:00,62486846,787209,3178.0,25.0,7.0,0.0,25.0,0,0,0,0.0,,,,,
1,477858700,2022-01-15 00:00:03,7,1,2022-01-14 23:59:59,14715503,21843716,3037.0,113.0,303.0,0.0,-4.0,1,59,0,0.0,,,,,
1,215170000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,15205268,23401634,305.0,156.0,30.0,0.0,-4.0,1,1,0,0.0,,,,,
1,538005842,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,14331099,22221360,1807.0,7.0,254.0,0.0,1.0,0,1,0,0.0,,,,,
